index,importance
feature_00,40
feature_01,144
feature_02,71
feature_03,59
feature_04,179
feature_05,113
feature_06,210
feature_07,197
feature_08,111
feature_09,18
feature_10,23
feature_11,32
feature_12,34
feature_13,55
feature_14,37
feature_15,102
feature_16,59
feature_17,103
feature_18,58
feature_19,53
feature_20,63
feature_21,68
feature_22,69
feature_23,71
feature_24,67
feature_25,64
feature_26,77
feature_27,82
feature_28,47
feature_29,70
feature_30,85
feature_31,72
feature_32,79
feature_33,99
feature_34,67
feature_35,61
feature_36,133
feature_37,79
feature_38,91
feature_39,52
feature_40,60
feature_41,64
feature_42,82
feature_43,68
feature_44,73
feature_45,73
feature_46,72
feature_47,114
feature_48,72
feature_49,93
feature_50,68
feature_51,99
feature_52,93
feature_53,70
feature_54,80
feature_55,95
feature_56,132
feature_57,62
feature_58,139
feature_59,169
feature_60,177
feature_61,70
feature_62,71
feature_63,50
feature_64,60
feature_65,83
feature_66,87
feature_67,41
feature_68,108
feature_69,63
feature_70,45
feature_71,84
feature_72,60
feature_73,54
feature_74,76
feature_75,86
feature_76,74
feature_77,106
feature_78,53
