index,importance
feature_00,15
feature_01,61
feature_02,40
feature_03,19
feature_04,111
feature_05,50
feature_06,170
feature_07,116
feature_08,67
feature_09,8
feature_10,8
feature_11,18
feature_12,28
feature_13,25
feature_14,20
feature_15,58
feature_16,29
feature_17,63
feature_18,9
feature_19,46
feature_20,24
feature_21,25
feature_22,23
feature_23,20
feature_24,38
feature_25,27
feature_26,38
feature_27,26
feature_28,16
feature_29,18
feature_30,44
feature_31,31
feature_32,25
feature_33,36
feature_34,22
feature_35,22
feature_36,96
feature_37,32
feature_38,43
feature_39,35
feature_40,21
feature_41,22
feature_42,32
feature_43,37
feature_44,38
feature_45,25
feature_46,31
feature_47,44
feature_48,28
feature_49,48
feature_50,28
feature_51,51
feature_52,70
feature_53,28
feature_54,57
feature_55,40
feature_56,72
feature_57,40
feature_58,111
feature_59,102
feature_60,110
feature_61,28
feature_62,26
feature_63,24
feature_64,23
feature_65,38
feature_66,45
feature_67,16
feature_68,61
feature_69,24
feature_70,19
feature_71,23
feature_72,37
feature_73,23
feature_74,20
feature_75,62
feature_76,32
feature_77,43
feature_78,29
