index,importance
feature_00,19
feature_01,65
feature_02,32
feature_03,20
feature_04,101
feature_05,58
feature_06,144
feature_07,108
feature_08,46
feature_09,3
feature_10,3
feature_11,8
feature_12,13
feature_13,22
feature_14,17
feature_15,44
feature_16,39
feature_17,40
feature_18,18
feature_19,24
feature_20,24
feature_21,40
feature_22,29
feature_23,51
feature_24,26
feature_25,20
feature_26,40
feature_27,36
feature_28,11
feature_29,29
feature_30,36
feature_31,21
feature_32,13
feature_33,38
feature_34,34
feature_35,23
feature_36,98
feature_37,30
feature_38,35
feature_39,14
feature_40,27
feature_41,45
feature_42,26
feature_43,31
feature_44,50
feature_45,44
feature_46,31
feature_47,57
feature_48,17
feature_49,38
feature_50,30
feature_51,50
feature_52,50
feature_53,33
feature_54,51
feature_55,37
feature_56,57
feature_57,35
feature_58,91
feature_59,86
feature_60,84
feature_61,27
feature_62,33
feature_63,22
feature_64,21
feature_65,22
feature_66,46
feature_67,17
feature_68,38
feature_69,35
feature_70,20
feature_71,29
feature_72,32
feature_73,29
feature_74,25
feature_75,72
feature_76,38
feature_77,61
feature_78,21
