index,importance
feature_00,23
feature_01,52
feature_02,25
feature_03,25
feature_04,112
feature_05,46
feature_06,168
feature_07,117
feature_08,44
feature_09,11
feature_10,7
feature_11,17
feature_12,19
feature_13,32
feature_14,32
feature_15,58
feature_16,56
feature_17,64
feature_18,25
feature_19,42
feature_20,19
feature_21,29
feature_22,30
feature_23,36
feature_24,26
feature_25,23
feature_26,32
feature_27,28
feature_28,22
feature_29,35
feature_30,44
feature_31,20
feature_32,16
feature_33,40
feature_34,38
feature_35,30
feature_36,77
feature_37,47
feature_38,32
feature_39,24
feature_40,36
feature_41,19
feature_42,18
feature_43,40
feature_44,29
feature_45,40
feature_46,26
feature_47,58
feature_48,32
feature_49,26
feature_50,28
feature_51,58
feature_52,46
feature_53,39
feature_54,55
feature_55,45
feature_56,75
feature_57,45
feature_58,99
feature_59,123
feature_60,91
feature_61,13
feature_62,28
feature_63,19
feature_64,24
feature_65,31
feature_66,46
feature_67,19
feature_68,65
feature_69,24
feature_70,23
feature_71,18
feature_72,32
feature_73,20
feature_74,34
feature_75,79
feature_76,39
feature_77,37
feature_78,38
