index,importance
feature_00,23
feature_01,98
feature_02,63
feature_03,48
feature_04,125
feature_05,84
feature_06,203
feature_07,180
feature_08,61
feature_09,21
feature_10,8
feature_11,19
feature_12,31
feature_13,55
feature_14,27
feature_15,86
feature_16,35
feature_17,67
feature_18,42
feature_19,62
feature_20,42
feature_21,47
feature_22,37
feature_23,53
feature_24,43
feature_25,43
feature_26,58
feature_27,57
feature_28,30
feature_29,66
feature_30,79
feature_31,26
feature_32,39
feature_33,43
feature_34,32
feature_35,35
feature_36,88
feature_37,57
feature_38,70
feature_39,45
feature_40,45
feature_41,45
feature_42,49
feature_43,53
feature_44,42
feature_45,55
feature_46,31
feature_47,70
feature_48,30
feature_49,67
feature_50,45
feature_51,78
feature_52,65
feature_53,61
feature_54,74
feature_55,67
feature_56,107
feature_57,51
feature_58,125
feature_59,150
feature_60,160
feature_61,47
feature_62,51
feature_63,38
feature_64,31
feature_65,46
feature_66,55
feature_67,29
feature_68,83
feature_69,45
feature_70,25
feature_71,39
feature_72,48
feature_73,30
feature_74,41
feature_75,55
feature_76,58
feature_77,84
feature_78,47
